building_num,loc
083,"(37.46345, 126.95159)"
008,"(37.46016, 126.95395)"
043-1,"(37.45668, 126.95137)"
009,"(37.46025, 126.95485)"
003,"(37.46071, 126.9535)"
007,"(37.46041, 126.95446)"
005,"(37.46065, 126.954)"
014,"(37.46083, 126.95502)"
006,"(37.46074, 126.95452)"
001,"(37.46028, 126.9523)"
002,"(37.46039, 126.9529)"
500,"(37.45931, 126.94857)"
024,"(37.45945, 126.94995)"
025,"(37.45862, 126.94996)"
039,"(37.45514, 126.95142)"
301,"(37.44993, 126.95242)"
038,"(37.45487, 126.95052)"
032,"(37.45652, 126.95009)"
034,"(37.45598, 126.95149)"
302,"(37.44875, 126.95246)"
026,"(37.45874, 126.95035)"
056,"(37.45767, 126.95143)"
010-1,"(37.45996, 126.95596)"
058,"(37.46547, 126.95186)"
044-1,"(37.45522, 126.95206)"
035,"(37.45666, 126.95214)"
049,"(37.46339, 126.9543)"
055,"(37.46249, 126.95285)"
220,"(37.4643, 126.95404)"
011,"(37.45976, 126.95521)"
016,"(37.46338, 126.95092)"
016-1,"(37.46279, 126.95098)"
084,"(37.46226, 126.95228)"
015,"(37.46234, 126.95177)"
057,"(37.46554, 126.95318)"
057-1,"(37.4652, 126.95356)"
064,"(37.46391, 126.94919)"
010,"(37.46027, 126.95537)"
201,"(37.45687, 126.94847)"
200,"(37.45767, 126.94866)"
222,"(37.46443, 126.95319)"
071-1,"(37.46753, 126.95215)"
074,"(37.46198, 126.95301)"
051,"(37.46359, 126.95261)"
054,"(37.46249, 126.95332)"
033,"(37.45625, 126.95064)"
013,"(37.45923, 126.95388)"
004,"(37.4609, 126.95329)"
101,"(37.46328, 126.95005)"
085,"(37.4674, 126.95355)"
082,"(37.46219, 126.95417)"
152-1,"(37.46656, 126.95122)"
012,"(37.45953, 126.95475)"
#001,"(37.58051,127.00110)"
,"(37.46028, 126.9523)"
015-1,"(37.46234, 126.95177)"
059,"(37.46511, 126.95267)"
017,"(37.46284, 126.95179)"
019,"(37.45687, 126.95277)"
203,"(37.45838, 126.94834)"
500-B,"(37.45931, 126.94857)"
025-1,"(37.45892, 126.94947)"
105-2,"(37.45409, 126.95339)"
022,"(37.45796, 126.95099)"
500-C,"(37.45931, 126.94857)"
500-A,"(37.45931, 126.94857)"
086,"(37.4689, 126.9529)"
021,"(37.45867, 126.9529)"
143,"(37.45823, 126.95293)"
029,"(37.45613, 126.95367)"
#017-,"(37.58051,127.00110)"
142,"(37.45669, 126.95371)"
#017,"(37.58051,127.00110)"
031,"(37.45703, 126.9499)"
030,"(37.45683, 126.95092)"
036,"(37.45553, 126.95142)"
037,"(37.45578, 126.95067)"
018,"(37.45689, 126.9528)"
075-1,"(37.45689, 126.9528)"
081,"(37.46707, 126.95418)"
085-1,"(37.46806, 126.95348)"
050,"(37.46299, 126.95236)"
052-2,"(37.46352, 126.95312)"
207,"(37.46403, 126.95302)"
073,"(37.46148, 126.95106)"
053,"(37.46311, 126.95353)"
153,"(37.46639, 126.95218)"
#012,"(37.58051,127.00110)"
#022,"(37.58051,127.00110)"
#020,"(37.58051,127.00110)"
#021,"(37.58051,127.00110)"
140-1,"(37.46405, 126.95455)"
140,"(37.46433, 126.95484)"
140-2,"(37.46433, 126.95484)"
221,"(37.46461, 126.95503)"
*100,"(37.54838,128.43861)"
500-D,"(37.45931, 126.94857)"
#013,"(37.58051,127.00110)"
*102,"(37.54838,128.43861)"
942,"(37.4658, 126.96083)"
